STANDARD_CACHE_SIZE,LOWER_CACHE_SIZE,HIGHER_CACHE_SIZE,STANDARD_PAGE_SIZE,LOWER_PAGE_SIZE,HIGHER_PAGE_SIZE,HIGHEST_PAGE_SIZE,SECURE_DELETE_TRUE,SECURE_DELETE_FALSE,SECURE_DELETE_FAST,TEMP_STORE_DEFAULT,TEMP_STORE_FILE,TEMP_STORE_MEMORY,SHARED_CACHE_TRUE,SHARED_CACHE_FALSE,READ_UNCOMMITED_TRUE,READ_UNCOMMITED_FALSE,FULLSYNC_TRUE,FULLSYNC_FALSE,TRANSACTION_MODE_DEFERRED,TRANSACTION_MODE_IMMEDIATE,TRANSACTION_MODE_EXCLUSIVE,$<TPS
0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,36.29999999999998
0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,36.18999999999997
0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,47.68999999999997
0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,1,0,0,36.04999999999998
0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,44.339999999999975
0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,1,0,0,1,0,39.079999999999984
0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,38.29999999999998
0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,29.289999999999964
0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,38.539999999999964
0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,45.98999999999998
0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0,0,0,1,44.559999999999974
0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,53.48999999999998
0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0,1,0,0,40.04999999999998
0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,31.369999999999976
0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,32.069999999999965
0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,43.62999999999997
0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,1,45.539999999999964
0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,32.15999999999997
0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0,32.539999999999964
0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,35.52999999999997
0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,36.599999999999966
0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,46.87999999999997
0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,40.46999999999997
0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,35.309999999999974
0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,30.639999999999986
0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,36.49999999999997
0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,48.02999999999997
0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,44.44999999999996
0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,39.339999999999975
0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,31.299999999999983
0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,34.23999999999998
0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,42.589999999999975
0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,31.049999999999983
0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,42.619999999999976
0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,37.95999999999998
0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,35.77999999999997
0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,36.62999999999997
0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,43.309999999999974
0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,42.069999999999965
0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,42.21999999999997
0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,1,34.16999999999996
0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0,50.15999999999997
0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,1,0,1,0,0,47.609999999999985
0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,55.369999999999976
0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,47.65999999999997
0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,31.21999999999997
0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1,36.92999999999998
0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,43.29999999999998
0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,38.72999999999996
0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,34.50999999999996
0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,39.71999999999997
0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,39.089999999999975
0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,39.68999999999997
0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,42.25999999999996
0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,32.609999999999985
0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,39.12999999999997
0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,34.66999999999996
0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,35.89999999999998
0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,1,39.02999999999997
0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,36.079999999999984
0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,37.339999999999975
0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,31.569999999999965
0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,34.45999999999998
0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,34.70999999999998
0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,39.68999999999997
0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,48.22999999999996
0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,40.48999999999998
0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,36.119999999999976
0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,40.91999999999996
0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,34.14999999999998
0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,39.45999999999998
0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,39.099999999999966
0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,48.42999999999998
0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,39.52999999999997
0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,45.859999999999985
0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,30.71999999999997
0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,39.599999999999966
0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,42.51999999999998
0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,36.39999999999998
0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,47.099999999999966
0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,40.45999999999998
0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,34.95999999999998
0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,40.50999999999996
0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,38.849999999999966
0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,48.059999999999974
0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,37.059999999999974
0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,39.809999999999974
0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,35.47999999999996
0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,41.43999999999997
0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,40.75999999999996
0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,39.98999999999998
0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,43.69999999999996
0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,36.389999999999986
0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,30.48999999999998
0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,36.39999999999998
0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,42.54999999999998
0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,35.15999999999997
0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,40.43999999999997
0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,33.73999999999998
0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,49.359999999999985
0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,39.869999999999976
0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,37.24999999999997
0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,1,0,1,0,0,29.569999999999965
0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,26.899999999999977
0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,47.039999999999964
0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,32.17999999999998
0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,1,44.39999999999998
0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0,39.27999999999997
0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,35.50999999999996
0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,35.25999999999996
0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,38.889999999999986
0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,37.43999999999997
0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,33.96999999999997
0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,39.64999999999998
0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,35.329999999999984
0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,42.099999999999966
0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,34.92999999999998
0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,39.119999999999976
0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,33.46999999999997
0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,46.50999999999996
0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,40.01999999999998
0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,38.089999999999975
0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,33.89999999999998
0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,45.02999999999997
0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,28.339999999999975
0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,41.02999999999997
0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,39.539999999999964
0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,36.41999999999996
0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,39.65999999999997
0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,34.49999999999997
0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,30.099999999999966
0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,36.64999999999998
0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,27.689999999999998
0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,30.92999999999998
0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,37.579999999999984
0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,41.309999999999974
0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,33.89999999999998
0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,26.569999999999993
0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,1,0,0,35.01999999999998
0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,42.619999999999976
0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,41.389999999999986
0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,33.87999999999997
0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,29.68999999999997
0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,30.67999999999998
0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,33.26999999999998
0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,39.94999999999996
0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,37.04999999999998
0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,44.16999999999996
0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,33.44999999999996
0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,29.099999999999966
0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,1,0,0,35.24999999999997
0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,29.149999999999977
0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,34.75999999999996
0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,30.49999999999997
0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,26.869999999999948
0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,34.859999999999985
0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,39.569999999999965
0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,44.29999999999998
0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,23.42999999999995
0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,37.27999999999997
0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,29.74999999999997
0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,39.46999999999997
0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,31.299999999999983
0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,41.609999999999985
0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,40.099999999999966
0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,36.01999999999998
0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,34.37999999999997
0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,21.649999999999977
0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,37.099999999999966
0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,42.359999999999985
0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,33.17999999999998
0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0,32.29999999999998
0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,1,31.149999999999977
0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,39.15999999999997
0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0,33.089999999999975
0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,36.539999999999964
0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,28.75
0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,31.22999999999996
0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,29.96999999999997
0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,23.50999999999999
0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,40.67999999999998
0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,42.21999999999997
0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,35.69999999999996
0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,36.29999999999998
0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,1,34.75999999999996
0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,27.659999999999968
0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,38.12999999999997
0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,40.97999999999996
0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,33.90999999999997
0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,33.889999999999986
0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,1,32.20999999999998
0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,33.27999999999997
0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,23.829999999999984
0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,35.569999999999965
0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,40.48999999999998
0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,52.079999999999984
0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,38.50999999999996
0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,34.46999999999997
0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0,0,34.27999999999997
0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,38.579999999999984
0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,38.87999999999997
0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,40.48999999999998
0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,1,37.74999999999997
0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,0,42.01999999999998
0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,33.76999999999998
0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,49.569999999999965
0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,38.23999999999998
0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,35.96999999999997
